"TOA5","CR1000","CR1000","84842","CR1000.Std.31.02","CPU:Med_Polvo_3940B.CR1","28391","Data1S3940"
"TIMESTAMP","RECORD","rmclatitude","rmcin_s_ind","ggalongitude","ggae_w_ind","PM1","PM25","PM10","TPS","Batt_Volt_Min","Velocidad","ggaaltitude","ggaaltutudeunits","camino"
"TS","RN","","","","","part/CC","part/CC","part/CC","ug/m3","Volts","m/s","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Smp","Smp","Smp","Smp"

"2023-10-18 09:55:36",797684,"2325.6143","S","06931.1189","W",49.3,80.2,89.5,2044,13.71,0,"1656.3","M",1
"2023-10-18 09:55:37",797685,"2325.6143","S","06931.1191","W",49.5,78.5,88,1474,13.78,0,"1656.2","M",1
"2023-10-18 09:55:38",797686,"2325.6145","S","06931.1191","W",47.8,81.5,91.6,1791,13.72,0,"1655.1","M",1
"2023-10-18 09:55:39",797687,"2325.6147","S","06931.1192","W",46.5,78.9,88.1,1450,13.69,0,"1654.7","M",1
"2023-10-18 09:55:40",797688,"2325.6147","S","06931.1192","W",44.7,76.3,85.8,2270,13.75,0,"1654.9","M",1
"2023-10-18 09:55:41",797689,"2325.6147","S","06931.1192","W",45.1,77.4,88.4,2097,13.87,0,"1654.7","M",1
"2023-10-18 09:55:42",797690,"2325.6145","S","06931.1190","W",43.2,70.7,81.5,2391,13.75,0,"1654.8","M",1
"2023-10-18 09:55:43",797691,"2325.6143","S","06931.1188","W",44.6,73.6,83.5,2843,13.7,0,"1655.4","M",1
"2023-10-18 09:55:44",797692,"2325.6141","S","06931.1187","W",49.5,82.4,92.5,1918,13.73,0,"1655.8","M",1
"2023-10-18 09:55:45",797693,"2325.6140","S","06931.1185","W",47.6,79.5,87.8,1833,13.8,0,"1655.9","M",1
"2023-10-18 09:55:46",797694,"2325.6139","S","06931.1183","W",45.7,76.8,86.9,1953,13.79,0,"1656.1","M",1
"2023-10-18 09:55:47",797695,"2325.6138","S","06931.1182","W",46.6,78.4,87.5,2592,13.75,0,"1656.5","M",1
"2023-10-18 09:55:48",797696,"2325.6136","S","06931.1181","W",47.7,82,92.4,1755,13.71,0,"1656.6","M",1
